"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Custom phrases that exist only in this theme."
"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Page Module"
"Results per page","На странице"
"%s-%s of %s","%s-%s из %s"
"###","Catalog Module"
"Filter","Фильтр"
"View Details","Смотреть"
"Share on Facebook","Подельться на Facebook"
"Share on Twitter","Подельться на Twitter"
"###","Checkout Module"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Вы уверены, что хотите покинуть данную страницу? Вам придеться пройти все шаги заново в следующий раз."
"Zip/Postal Code","Индекс"
"Discount Codes?","Код скидки?"
"###","Customer Module"
"Registration is free and easy!","Регистрация быстрая и бесплатная!"
"Faster checkout","Более быстрый и удобный заказ"
"Save multiple shipping addresses","Возможность сохранять несколько адресов доставки"
"View and track orders and more","Возможность просматривать и отслеживать свои заказы и др."
"Please enter the following information to create your account.","Пожалуйста, заполните форму ниже для регистрации в интернет-магазине"
"New Here?","Впервые у нас?"
"Account","Аккаунт"
"Quick Links","Быстрый доступ"
"Empty Cart","Очистить корзину"
"Estimate","Посчитать"
"Register and Checkout","Зарегистрироваться во время оформления заказа"
"Returning Customers","Вход"
"Sign in to speed up your checkout process","Войдите для быстрого оформления заказа"
"View Shopping Cart","В корзину"
"Cart","Корзина"
