"My Wishlist","Your Wish List"
"Your Wish List","Your Wish List"
"My Wishlist (%d item)","Your Wish List (%d)"
"My Wishlist (%d items)","Your Wish List (%d)"
"Hello, %s","Hello, %s"
"Your Account","Your Account"
"New customer?","New customer?"
"Start here","Start here"
"Your Orders","Your Orders"
"items","items"
"Cart","Cart"
"Edit your Cart","Edit your Cart"
"Your Cart (%s)","Your Cart (%s)"
"Shop","Shop"
"Back","Back"
"View All","View All"
"Your shopping cart is currently empty.","Your shopping cart is currently empty."
"Filter","Filter"
"asc.","asc."
"desc.","desc."
"Back to Top","Back to Top"
"Subscribe to our Newsletter","Subscribe to our Newsletter"
"Enter your email","Enter your email"
"Product Description","Product Description"
"Additional Info","Additional Info"
"Custom Info","Custom Info"
"Ratings & Reviews","Ratings & Reviews"
"Tags","Tags"
"Add your tags","Add your tags"
"Already Registered?","Already Registered?"
"Sign in","Sign in"
"Hello. Sign in","Hello. Sign in"
"Show more details","Show more details"
"Show less details","Show less details"
"Chinese","Chinese"
"Dutch","Dutch"
"English","English"
"French","French"
"German","German"
"Italian","Italian"
"Japanese","Japanese"
"Norwegian","Norwegian"
"Portuguese","Portuguese"
"Russian","Russian"
"Spanish","Spanish"
"Swedish","Swedish"
"Please enter your new password.","Please enter your new password."
"customer reviews","customer reviews"
"reviews","reviews"
"review","review"
"To buy, select <strong>%s</strong>","To buy, select <strong>%s</strong>"
"Choose from options to the left","Choose from options to the left"
"To buy, select quantities to the left","To buy, select quantities to the left"
" and "," and "
"Please check your spelling, try more general words or use synonyms.","Please check your spelling, try more general words or use synonyms."
"Top Destinations","Top Destinations"
"Account menu","Account menu"
"Male","Male"
"Female","Female"
"Select an Option","Select an Option"
"Accept","Accept"
"Product Detail","Product Detail"
"Ratings & Reviews for","Ratings & Reviews for"
"Quick View","Quick View"
"View Details","View Details"
"View Cart","View Cart"
