"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s добавлен в ваше избранное. Нажмите <a href=""%2$s"">сюда</a>, чтобы продолжить выбор товаров."
"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s добавлен в ваше избранное. Нажмите <a href=""%2$s"">сюда</a>, чтобы продолжить выбор товаров."
"%1$s has been updated in your wishlist.","%1$s обновлён в вашем избранном."
"%d product(s) have been added to shopping cart: %s.","Добавлено в корзину: %d шт. (%s)."
"%s for ""%s"".","%s для ""%s""."
"%s has been moved to wishlist %s","%s перемещён в избранное %s"
"%s's Wishlist","Избранное пользователя %s"
"* Required Fields","* Обязательные поля"
"Add All to Cart","Добавить все в корзину"
"Add to Cart","В корзину"
"Add to Compare","В сравнение"
"Add to Wishlist","В избранное"
"Added From","Добавлено из"
"Added On","Добавлено"
"An error occurred while adding item to wishlist.","Ошибка при добавлении позиции в избранное."
"An error occurred while adding item to wishlist: %s","Ошибка при добавлении позиции в избранное: %s"
"An error occurred while deleting the item from wishlist.","Ошибка при удалении позиции из избранного."
"An error occurred while deleting the item from wishlist: %s","Ошибка при удалении позиции из избранного: %s"
"An error occurred while updating wishlist.","Ошибка при обновлении избранного."
"Are you sure you want to remove this product from your wishlist?","Вы действительно хотите удалить этот товар из вашего избранного?"
"Are you sure you would like to remove this item from the wishlist?","Вы действительно хотите удалить этот товар из избранного?"
"Back","Вернуться"
"Can\'t delete item from wishlist","Невозможно удалить позицию из избранного"
"Can\'t save description %s","Невозможно сохранить описание %s"
"Can\'t update wishlist","Невозможно обновить избранное"
"Cannot add item to shopping cart","Невозможно добавить позицию в корзину покупок"
"Cannot add the item to shopping cart.","Невозможно добавить позицию в корзину покупок."
"Cannot configure product","Невозможно настроить товар"
"Cannot create wishlist.","Невозможно создать избранное."
"Cannot load wishlist item","Невозможно загрузить позицию избранного"
"Cannot move item to wishlist","Невозможно переместить позицию в избранное"
"Cannot specify product.","Невозможно определить товар."
"Cannot specify wishlist item.","Невозможно определить позицию избранного."
"Cannot specify wishlist.","Невозможно определить избранное."
"Cannot update wishlist","Невозможно обновить избранное"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Установите этот флажок, если хотите добавить ссылку на rss канал для вашего избранного."
"Click for price","Узнать цену"
"Comment","Комментарий"
"Comment:","Комментарий:"
"Configure Wishlist Item","Настроить позицию избранного"
"Configured Price:","Цена с параметрами:"
"Could not find wishlist","Избранное не найдено"
"Customer My Account My Wishlist","Учётная запись клиента. Моё избранное"
"Customer My Account Wishlist Sharing Form","Учётная запись клиента. Форма публикации избранного"
"Customer Shared Wishlist View","Вид опубликованного избранного клиента"
"Date Added","Дата добавления"
"Days in Wishlist","Дней в избранном"
"Display Wishlist Summary","Отображать сводку избранного"
"Edit","Редактировать"
"Email Sender","Электронная почта (email). Отправитель"
"Email Template","Электронная почта (email). Шаблон"
"Email address can\'t be empty.","Email не может быть пустым."
"Email addresses, separated by commas","Адреса электронной почты (emails), разделённые запятыми"
"Enabled","Включено"
"General Options","Общие параметры"
"Go to Wishlist","Перейти в избранное"
"Helper for wishlist options rendering doesn't implement required interface.","Helper for wishlist options rendering doesn't implement required interface."
"In stock","В наличии"
"Last Added Items","Последние товары в избранном"
"Message","Сообщение"
"My Wishlist","Избранное"
"My Wishlist (%d item)","Избранное (%d шт.)"
"My Wishlist (%d items)","Избранное (%d шт.)"
"My Wishlist <small>(%d)</small>","Избранное <small>(%d)</small>"
"My Wishlist Link","Моё избранное. Ссылка"
"Options Details","Параметры"
"Out of stock","Нет в наличии"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Пожалуйста, введите правильные адреса электронной почты (emails), разделённые запятыми. Например: ivanivanov@domain.com, ivanpetrov@domain.com."
"Please input a valid email address.","Пожалуйста, введите правильный email."
"Please, enter your comments...","Пожалуйста, введите ваши комментарии..."
"Product","Товар"
"Product Details and Comment","Информация о товаре и комментарии"
"Product(s) %s have required options. Each of them can be added to cart separately only.","У товаров %s есть обязательные параметры. Каждый из них может быть добавлен в корзину покупок только по отдельности."
"RSS Feed","RSS канал"
"RSS link to %s's wishlist","RSS ссылка на избранное (%s)"
"Remove Item","Удалить позицию"
"Remove This Item","Удалить эту позицию"
"Remove item","Удалить позицию"
"Requested cart item doesn't exist","Запрошенная позиция корзины не существует"
"Requested wishlist doesn't exist","Запрошенное избранное не существует"
"Share Options","Параметры публикации"
"Share Wishlist","Опубликовать избранное"
"Share Your Wishlist","Публикация вашего избранного"
"Sharing Information","Информация для публикации"
"This Wishlist has no Items","В этом избранном нет товаров."
"This product(s) is currently out of stock","Этого товара в данный момент нет в наличии"
"Unable to add the following product(s) to shopping cart: %s.","Эти товары невозможно добавить в корзину покупок: %s."
"Update Wishlist","Сохранить изменения в избранном"
"User Description","Описание пользователя"
"User description","Описание пользователя"
"View Details","Подробнее"
"View Product","Просмотреть товар"
"What's this?","Что это?"
"Wishlist","Избранное"
"Wishlist Section","Раздел избранного"
"Wishlist Sharing","Публикация избранного"
"Wishlist could not be created.","Невозможно создать избранное."
"Wishlist is empty now.","Избранное очищен."
"You have no items in your wishlist.","В вашем избранном нет товаров."
"Your Wishlist has been shared.","Ваше избранное опубликовано."
