"Add Recipient","Добавить получателя"
"Allow for Guests","Разрешено для гостей"
"An invalid email address for recipient was entered.","Введён неверный адрес электронной почты получателя."
"At least one recipient must be specified.","Необходимо указать минимум одного получателя."
"Back","Вернуться"
"Catalog Product Email to a Friend","Письма другу со ссылкой на товары каталога"
"Email Address","Email"
"Email Address:","Email:"
"Email Templates","Шаблоны писем"
"Email to a Friend","Отправить другу"
"Email:","Электронная почта (email):"
"Enabled","Включено"
"Invalid Sender Information","Неверная информация об отправителе"
"Invalid sender email.","Неверный адрес электронной почты отправителя."
"Limit Sending By","Ограничение отправки по"
"Max Products Sent in 1 Hour","Максимальное кол-во товаров, отправляемых за 1 час"
"Max Recipients","Максимальное кол-во получателей"
"Maximum %d email addresses allowed.","Разрешено максимум %d адресов электронной почты (email)."
"Message:","Сообщение:"
"Name","Имя"
"Name:","Имя:"
"No more than %d emails can be sent at a time.","Максимум одновременно отправляемых писем: %d шт."
"Please define a correct Cookie instance.","Пожалуйста, укажите правильный экземпляр Cookie."
"Please define a correct Product instance.","Пожалуйста, укажите правильный экземпляр товара."
"Please define the correct Sender information.","Пожалуйста, укажите правильную информацию об отправителе."
"Recipient:","Получатель:"
"Remove Email","Удалить письмо (email)"
"Select Email Template","Выбрать шаблон письма (email)"
"Send Email","Отправить письмо (email)"
"Send product to a friend","Отправить другу"
"Sender:","Отправитель:"
"Some emails were not sent.","Некоторые письма не были отправлены."
"The link to a friend was sent.","Ссылка отправлена другу."
"The message cannot be empty.","Сообщение не может быть пустым."
"The messages cannot be sent more than %d times in an hour","В течении часа можно отправить не более %d сообщений"
"The sender name cannot be empty.","Имя отправителя не может быть пустым."
"There were some problems with the data.","Какие-то ошибки с данными."
"You have exceeded limit of %d sends in an hour","Вы достигли ограничения на отсылку писем в час: %d раз(а)"
