"Action","Действие"
"Add Sitemap","Добавить карту сайта"
"Always","Всегда"
"CMS Pages Options","Параметры CMS страниц"
"Categories Options","Параметры категорий"
"Daily","Ежедневно"
"Edit Sitemap","Редактировать карту сайта"
"Enabled","Включено"
"Error Email Recipient","Письмо об ошибке. Получатель"
"Error Email Sender","Письмо об ошибке. Отправитель"
"Error Email Template","Письмо об ошибке. Шаблон"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Невозможно сохранить файл ""%s"". Убедитесь, что папка ""%s"" доступна для записи."
"Filename","Имя файла"
"Frequency","Периодичность"
"Generate","Создать"
"Generation Settings","Настройки генерации"
"Google Sitemap","Карта сайта Google"
"Hourly","Каждый час"
"ID","ИД"
"Last Time Generated","Последнее время создания"
"Link for Google","Ссылка для Google"
"Monthly","Ежемесячно"
"Never","Никогда"
"New Sitemap","Новая карта сайта"
"Path","Путь"
"Please create the specified folder ""%s"" before saving the sitemap.","Пожалуйста, создайте указанную папку ""%s"" перед сохранением карты сайта."
"Please define correct path","Пожалуйста, укажите правильный путь"
"Please make sure that ""%s"" is writable by web-server.","Пожалуйста, убедитесь что папка ""%s"" доступна для записи."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Пожалуйста, используйте в названии файла только буквы (a-z или A-Z), цифры (0-9) или подчёркивание (_). Пробелы и другие символы запрещены."
"Priority","Приоритет"
"Products Options","Параметры товаров"
"Sitemap","Карта сайта"
"Sitemap generate Warnings","Предупреждения при создании карты сайта"
"Start Time","Время начала"
"Store View","Представление магазина"
"The priority must be between 0 and 1.","Приоритет должен быть в интервале между 0 и 1."
"The sitemap ""%s"" has been generated.","Карта сайта ""%s"" создана."
"The sitemap has been deleted.","Карта сайта удалена."
"The sitemap has been saved.","Карта сайта сохранена."
"This sitemap no longer exists.","Карта сайта больше не существует."
"Unable to find a sitemap to delete.","Невозможно найти карту сайта для удаления."
"Unable to find a sitemap to generate.","Невозможно найти карту сайта для создания."
"Unable to generate the sitemap.","Невозможно создать карту сайта."
"Valid values range: from 0.0 to 1.0.","Корректный диапазон значений: от 0.0 до 1.0."
"Weekly","Еженедельно"
"Yearly","Ежегодно"
